    0.26576E-02    0.62859E+04
    0.27113E-02    0.63902E+04
    0.27660E-02    0.64958E+04
    0.28219E-02    0.66027E+04
    0.28789E-02    0.67108E+04
    0.29371E-02    0.68202E+04
    0.29964E-02    0.69309E+04
    0.30569E-02    0.70428E+04
    0.31187E-02    0.71560E+04
    0.31817E-02    0.72704E+04
    0.32460E-02    0.73860E+04
    0.33115E-02    0.75028E+04
    0.33784E-02    0.76209E+04
    0.34467E-02    0.77401E+04
    0.35163E-02    0.78605E+04
    0.35874E-02    0.79820E+04
    0.36598E-02    0.81046E+04
    0.37338E-02    0.82284E+04
    0.38092E-02    0.83533E+04
    0.38861E-02    0.84792E+04
    0.39646E-02    0.86062E+04
    0.40447E-02    0.87342E+04
    0.41264E-02    0.88631E+04
    0.42098E-02    0.89931E+04
    0.42948E-02    0.91239E+04
    0.43816E-02    0.92557E+04
    0.44701E-02    0.93883E+04
    0.45604E-02    0.95217E+04
    0.46525E-02    0.96559E+04
    0.47465E-02    0.97908E+04
    0.48424E-02    0.99264E+04
    0.49402E-02    0.10063E+05
    0.50400E-02    0.10199E+05
    0.51419E-02    0.10337E+05
    0.52457E-02    0.10475E+05
    0.53517E-02    0.10613E+05
    0.54598E-02    0.10752E+05
    0.55701E-02    0.10891E+05
    0.56826E-02    0.11030E+05
    0.57974E-02    0.11169E+05
    0.59145E-02    0.11309E+05
    0.60340E-02    0.11449E+05
    0.61559E-02    0.11588E+05
    0.62803E-02    0.11728E+05
    0.64072E-02    0.11867E+05
    0.65366E-02    0.12006E+05
    0.66686E-02    0.12145E+05
    0.68033E-02    0.12283E+05
    0.69408E-02    0.12421E+05
    0.70810E-02    0.12558E+05
    0.72240E-02    0.12694E+05
    0.73700E-02    0.12829E+05
    0.75189E-02    0.12964E+05
    0.76708E-02    0.13098E+05
    0.78257E-02    0.13230E+05
    0.79838E-02    0.13361E+05
    0.81451E-02    0.13491E+05
    0.83096E-02    0.13619E+05
    0.84775E-02    0.13746E+05
    0.86488E-02    0.13870E+05
    0.88235E-02    0.13993E+05
    0.90017E-02    0.14114E+05
    0.91836E-02    0.14233E+05
    0.93691E-02    0.14349E+05
    0.95583E-02    0.14463E+05
    0.97514E-02    0.14575E+05
    0.99484E-02    0.14683E+05
    0.10149E-01    0.14789E+05
    0.10354E-01    0.14892E+05
    0.10564E-01    0.14991E+05
    0.10777E-01    0.15087E+05
    0.10995E-01    0.15180E+05
    0.11217E-01    0.15269E+05
    0.11443E-01    0.15354E+05
    0.11675E-01    0.15434E+05
    0.11910E-01    0.15511E+05
    0.12151E-01    0.15583E+05
    0.12397E-01    0.15651E+05
    0.12647E-01    0.15714E+05
    0.12902E-01    0.15772E+05
    0.13163E-01    0.15825E+05
    0.13429E-01    0.15873E+05
    0.13700E-01    0.15915E+05
    0.13977E-01    0.15951E+05
    0.14259E-01    0.15982E+05
    0.14547E-01    0.16006E+05
    0.14841E-01    0.16025E+05
    0.15141E-01    0.16038E+05
    0.15447E-01    0.16045E+05
    0.15759E-01    0.16043E+05
    0.16077E-01    0.16031E+05
    0.16402E-01    0.16015E+05
    0.16734E-01    0.16007E+05
    0.17072E-01    0.16003E+05
    0.17416E-01    0.15991E+05
    0.17768E-01    0.15958E+05
    0.18127E-01    0.15907E+05
    0.18493E-01    0.15849E+05
    0.18867E-01    0.15786E+05
    0.19248E-01    0.15716E+05
    0.19637E-01    0.15638E+05
    0.20034E-01    0.15551E+05
    0.20438E-01    0.15460E+05
    0.20851E-01    0.15363E+05
    0.21272E-01    0.15250E+05
    0.21702E-01    0.15116E+05
    0.22141E-01    0.14971E+05
    0.22588E-01    0.14826E+05
    0.23044E-01    0.14685E+05
    0.23510E-01    0.14541E+05
    0.23985E-01    0.14389E+05
    0.24469E-01    0.14228E+05
    0.24964E-01    0.14058E+05
    0.25468E-01    0.13882E+05
    0.25982E-01    0.13705E+05
    0.26507E-01    0.13531E+05
    0.27043E-01    0.13353E+05
    0.27589E-01    0.13166E+05
    0.28146E-01    0.12967E+05
    0.28715E-01    0.12762E+05
    0.29295E-01    0.12554E+05
    0.29887E-01    0.12345E+05
    0.30490E-01    0.12133E+05
